instance,size,time-colgen-itUB-CUT-heuLB,ub-colgen-itUB-CUT-heuLB,lb-colgen-itUB-CUT-heuLB,sol-colgen-itUB-CUT-heuLB,time-colgen-CUT-heuLB-liftD,ub-colgen-CUT-heuLB-liftD,lb-colgen-CUT-heuLB-liftD,sol-colgen-CUT-heuLB-liftD
r010-000,10,0.0962856,4,4,4,0.100086,5,4,4
r010-001,10,0.060494,4,4,4,0.0867616,7,4,4
r010-002,10,0.117866,3,2,2,0.249807,4,2,2
r010-003,10,0.0775447,4,4,4,0.0432186,6,4,4
r010-004,10,0.0749136,3,3,3,0.0737117,5,3,3
r010-005,10,0.051161,4,4,4,0.038128,4,4,4
r010-006,10,0.058718,4,4,4,0.0420227,6,4,4
r010-007,10,0.0601265,4,4,4,0.0428171,6,4,4
r010-008,10,0.0859301,3,3,3,0.0812377,5,3,3
r010-009,10,0.223855,3,2,2,0.228428,6,2,2
r010-010,10,0.0734892,4,4,4,0.0428458,5,4,4
r010-011,10,0.0656065,4,4,4,0.0391195,5,4,4
r010-012,10,0.0892179,3,3,3,0.0505425,4,3,3
r010-013,10,0.134976,3,2,2,0.16741,5,2,2
r010-014,10,0.0775746,4,4,4,0.0398642,5,4,4
r010-015,10,0.0691159,4,4,4,0.0448445,6,4,4
r010-016,10,0.0702824,4,4,4,0.0445895,6,4,4
r010-017,10,0.0946085,4,4,4,0.0412322,7,4,4
r010-018,10,0.0684165,6,6,6,0.0395007,7,6,6
r010-019,10,0.0798496,6,6,6,0.0473879,8,6,6
r010-020,10,0.0662191,4,4,4,0.0449749,7,4,4
r010-021,10,0.0591431,4,4,4,0.0478872,5,4,4
r010-022,10,0.092467,6,6,6,0.0439044,8,6,6
r010-023,10,0.0717083,4,4,4,0.0459247,7,4,4
r010-024,10,0.058131,4,4,4,0.0463169,6,4,4
r010-025,10,0.0755931,4,4,4,0.0406785,5,4,4
r010-026,10,0.0573102,3,3,3,0.0440787,4,3,3
r010-027,10,0.0659683,4,4,4,0.0370776,5,4,4
r010-028,10,0.0885826,4,4,4,0.0447255,7,4,4
r010-029,10,0.0846655,2,2,2,0.132476,4,2,2
r015-000,15,0.301215,4,4,4,0.189275,7,4,4
r015-001,15,0.173778,5,5,5,0.0955249,7,5,5
r015-002,15,0.293773,4,4,4,0.192707,8,4,4
r015-003,15,0.262763,3,3,3,0.465343,6,3,3
r015-004,15,0.194787,5,5,5,0.101832,7,5,5
r015-005,15,0.174038,5,5,5,0.112092,7,5,5
r015-006,15,0.191833,5,5,5,0.11576,7,5,5
r015-007,15,0.478476,4,4,4,0.530368,7,4,4
r015-008,15,0.161867,9,9,9,0.0914256,10,9,9
r015-009,15,0.335327,4,4,4,0.343246,7,4,4
r015-010,15,0.342747,3,3,3,1.57322,8,3,3
r015-011,15,1.20323,4,3,3,1.05083,7,3,3
r015-012,15,0.243494,3,3,3,0.513017,6,3,3
r015-013,15,0.352388,3,3,3,0.661588,6,3,3
r015-014,15,0.230733,5,5,5,0.140091,9,5,5
r015-015,15,0.252497,3,3,3,0.774518,7,3,3
r015-016,15,0.211393,7,7,7,0.102334,9,7,7
r015-017,15,0.186126,5,5,5,0.111451,8,5,5
r015-018,15,0.816757,4,3,3,1.1103,8,3,3
r015-019,15,0.243619,3,3,3,0.72425,6,3,3
r015-020,15,0.680615,4,4,4,1.28597,9,4,4
r015-021,15,0.258981,4,3,4,0.596532,7,3,4
r015-022,15,0.407243,5,5,5,0.19435,8,5,5
r015-023,15,0.348541,4,3,3,0.869768,8,3,3
r015-024,15,0.169121,5,5,5,0.0969893,8,5,5
r015-025,15,0.289804,5,5,5,0.125368,7,5,5
r015-026,15,0.296782,3,3,3,0.24131,5,3,3
r015-027,15,0.21215,4,4,4,0.135413,6,4,4
r015-028,15,0.236542,5,5,5,0.115494,7,5,5
r015-029,15,0.60207,4,3,4,0.933613,7,3,4
r020-000,20,0.908313,5,5,5,0.556281,8,5,5
r020-001,20,0.55141,8,8,8,0.252178,12,8,8
r020-002,20,0.668107,4,4,4,0.537445,7,4,4
r020-003,20,0.707474,4,4,4,1.70205,8,4,4
r020-004,20,0.662247,6,6,6,0.378726,10,6,6
r020-005,20,0.381524,12,12,12,0.22869,14,12,12
r020-006,20,0.671382,5,5,5,1.51275,9,5,5
r020-007,20,0.505747,6,6,6,0.296002,12,6,6
r020-008,20,1.01235,4,4,4,1.30575,8,4,4
r020-009,20,0.607738,6,6,6,0.256275,9,6,6
r020-010,20,0.374584,8,8,8,0.212891,10,8,8
r020-011,20,0.702752,4,4,4,3.5848,7,4,4
r020-012,20,10.9483,4,3,3,7.1051,7,3,3
r020-013,20,0.515348,4,4,4,0.34502,7,4,4
r020-014,20,1.01602,3,3,3,1.25092,6,3,3
r020-015,20,0.610862,8,8,8,0.293884,11,8,8
r020-016,20,0.444835,6,6,6,0.26334,8,6,6
r020-017,20,0.957682,4,4,4,2.67266,8,4,4
r020-018,20,0.481362,6,6,6,0.299128,9,6,6
r020-019,20,0.8959,6,6,6,0.725817,10,6,6
r020-020,20,0.395708,10,10,10,0.209244,11,10,10
r020-021,20,0.669067,6,6,6,0.467367,10,6,6
r020-022,20,0.709368,5,5,5,0.926215,9,5,5
r020-023,20,0.878244,5,5,5,0.45628,8,5,5
r020-024,20,0.649002,5,5,5,0.69731,9,5,5
r020-025,20,1.12233,5,5,5,0.903151,12,5,5
r020-026,20,1.12471,4,4,4,3.32186,9,4,4
r020-027,20,16.4323,3,2,3,12.7986,6,2,3
r020-028,20,0.665911,6,6,6,0.385345,11,6,6
r020-029,20,0.401987,6,6,6,0.241976,8,6,6
r025-000,25,0.952222,5,5,5,0.657297,12,5,5
r025-001,25,0.852491,7,7,7,0.74805,9,7,7
r025-002,25,0.930123,5,5,5,0.592472,9,5,5
r025-003,25,1.10603,7,7,7,0.989548,12,7,7
r025-004,25,1.29455,5,5,5,1.18481,10,5,5
r025-005,25,2.74468,4,3,4,22.9063,8,3,4
r025-006,25,0.83277,11,11,11,0.505972,14,11,11
r025-007,25,8.11152,5,4,4,38.9341,9,4,4
r025-008,25,2.60172,4,4,4,13.5098,8,4,4
r025-009,25,3.04068,5,5,5,10.7844,10,5,5
r025-010,25,2.0548,4,4,4,7.3147,8,4,4
r025-011,25,1.08857,11,11,11,0.531559,14,11,11
r025-012,25,2.11749,5,5,5,6.30932,9,5,5
r025-013,25,2.78001,4,4,4,2.93388,9,4,4
r025-014,25,1.93916,5,5,5,2.77763,10,5,5
r025-015,25,1.15895,5,5,5,0.857619,11,5,5
r025-016,25,2.20662,5,5,5,3.75464,12,5,5
r025-017,25,1.07111,5,5,5,1.02106,10,5,5
r025-018,25,54.1487,4,3,3,89.1148,8,3,3
r025-019,25,2.03432,5,5,5,2.02009,8,5,5
r025-020,25,1.01928,11,11,11,0.670139,16,11,11
r025-021,25,1.00986,7,7,7,0.596254,11,7,7
r025-022,25,3.51581,6,6,6,1.78661,13,6,6
r025-023,25,1.85517,5,5,5,5.30149,8,5,5
r025-024,25,1.84048,4,4,4,15.3034,8,4,4
r025-025,25,2.54792,4,4,4,28.0548,9,4,4
r025-026,25,186.201,4,3,4,120.3,9,3,4
r025-027,25,1.13064,7,7,7,0.635333,13,7,7
r025-028,25,2.6587,5,5,5,1.98097,9,5,5
r025-029,25,2.59664,5,5,5,10.9164,12,5,5
r030-000,30,2.12694,7,7,7,1.30981,10,7,7
r030-001,30,2.47313,6,6,6,1.66861,13,6,6
r030-002,30,1.64898,10,10,10,1.05986,14,10,10
r030-003,30,465.844,5,4,5,465.101,11,4,5
r030-004,30,3.3991,6,6,6,2.6116,11,6,6
r030-005,30,4.58684,5,5,5,46.3581,11,5,5
r030-006,30,4.65743,6,6,6,10.5412,11,6,6
r030-007,30,3.82892,6,6,6,5.76741,10,6,6
r030-008,30,5.62952,6,6,6,22.0327,14,6,6
r030-009,30,4.67666,6,6,6,15.7883,13,6,6
r030-010,30,5.07959,6,6,6,2.95461,13,6,6
r030-011,30,3.74391,6,6,6,2.36304,11,6,6
r030-012,30,2.98601,6,6,6,2.13192,10,6,6
r030-013,30,2.72083,6,6,6,2.35473,15,6,6
r030-014,30,2.25313,6,6,6,1.85828,10,6,6
r030-015,30,2.66422,6,6,6,2.00935,12,6,6
r030-016,30,5.31258,6,5,5,7.12254,9,5,5
r030-017,30,1.73344,8,8,8,1.18271,12,8,8
r030-018,30,4.28221,5,5,5,186.449,11,5,5
r030-019,30,5.51655,6,6,6,13.7533,13,6,6
r030-020,30,3.41761,5,5,5,3.45975,8,5,5
r030-021,30,4.10548,6,6,6,5.5355,11,6,6
r030-022,30,3.48725,7,7,7,3.7577,15,7,7
r030-023,30,1054.31,5,3,4,418.851,9,3,4
r030-024,30,1.88287,8,8,8,1.20522,11,8,8
r030-025,30,6.89086,4,4,4,150.953,9,4,4
r030-026,30,2.16483,8,8,8,1.71122,13,8,8
r030-027,30,4.82623,4,4,4,149.179,8,4,4
r030-028,30,5.70068,5,5,5,96.4352,11,5,5
r030-029,30,103.3,5,4,4,534.17,10,4,4
r035-000,35,4.65155,8,8,8,3.37322,11,8,8
r035-001,35,3.92324,7,7,7,2.86777,12,7,7
r035-002,35,4.99415,11,11,11,3.7057,17,11,11
r035-003,35,10.4152,7,7,7,9.57988,12,7,7
r035-004,35,4.00458,7,7,7,2.96004,14,7,7
r035-005,35,4.06166,7,7,7,2.83541,10,7,7
r035-006,35,3.48653,9,9,9,2.03051,16,9,9
r035-007,35,2303.04,6,4,5,3600.42,10,4,5
r035-008,35,57.4713,5,5,5,563.493,12,5,5
r035-009,35,5.48148,9,9,9,4.47511,16,9,9
r035-010,35,4.84812,7,7,7,3.66131,14,7,7
r035-011,35,4.89587,7,7,7,3.42937,11,7,7
r035-012,35,5.06988,6,6,6,3.84302,11,6,6
r035-013,35,3650.03,5,4,4,3600.48,12,4,4
r035-014,35,11.8133,5,5,5,596.676,10,5,5
r035-015,35,88.277,6,5,6,953.024,10,5,5
r035-016,35,155.214,5,5,5,618.524,12,5,5
r035-017,35,37.2868,5,5,5,290.774,10,5,5
r035-018,35,4.74859,7,7,7,3.05516,15,7,7
r035-019,35,3.94435,7,7,7,2.83308,11,7,7
r035-020,35,120.222,5,5,5,791.269,13,5,5
r035-021,35,3.77542,7,7,7,2.56576,15,7,7
r035-022,35,24.4718,7,7,7,6.42274,15,7,7
r035-023,35,3.90969,7,7,7,2.56886,11,7,7
r035-024,35,30.5474,5,5,5,9.9384,10,5,5
r035-025,35,106.729,6,5,6,1083.55,10,5,6
r035-026,35,3.97293,7,7,7,2.71839,12,7,7
r035-027,35,56.5625,6,5,5,872.986,13,5,5
r035-028,35,3.85756,10,10,10,2.63109,13,10,10
r035-029,35,3.94525,8,8,8,2.79307,13,8,8
r040-000,40,5.8808,12,12,12,3.70071,16,12,12
r040-001,40,14.1028,8,8,8,11.0322,13,8,8
r040-002,40,108.683,7,6,7,3600.72,15,6,7
r040-003,40,9.98865,6,6,6,7.71519,15,6,6
r040-004,40,6.35109,16,16,16,4.6375,18,16,16
r040-005,40,4200.43,6,5,5,2891.48,15,5,5
r040-006,40,6.13414,9,9,9,4.51957,12,9,9
r040-007,40,29.2364,5,5,5,301.042,9,5,5
r040-008,40,926.478,5,4,4,2121.42,13,4,4
r040-009,40,116.143,8,8,8,18.5383,15,8,8
r040-010,40,104.574,5,5,5,269.136,12,5,5
r040-011,40,4176.05,6,5,5,3600.74,15,5,5
r040-012,40,219.718,6,6,6,3600.94,16,6,6
r040-013,40,7.06508,10,10,10,5.08086,14,10,10
r040-014,40,8.75081,8,8,8,7.21047,17,8,8
r040-015,40,27.5516,6,6,6,47.2434,10,6,6
r040-016,40,54.6181,6,6,6,1704.22,12,6,6
r040-017,40,10.2813,6,6,6,11.2872,12,6,6
r040-018,40,18.4319,8,8,8,380.452,14,8,8
r040-019,40,584.549,7,6,6,1256.91,13,6,6
r040-020,40,17.3601,8,6,8,143.346,11,6,8
r040-021,40,10.1201,8,8,8,8.51714,16,8,8
r040-022,40,7.02569,8,8,8,5.67733,14,8,8
r040-023,40,344.616,6,6,6,530.076,15,6,6
r040-024,40,6.48201,10,10,10,4.411,16,10,10
r040-025,40,69.3104,6,6,6,3589.04,14,6,6
r040-026,40,132.321,6,4,6,2771.01,11,4,7
r040-027,40,6.39993,12,12,12,4.13102,19,12,12
r040-028,40,95.4087,6,6,6,1067.7,13,6,6
r040-029,40,7.12111,10,10,10,5.16025,14,10,10
r045-000,45,404.191,7,7,7,1181.66,16,7,7
r045-001,45,3852.87,6,5,5,3601.32,12,5,5
r045-002,45,3695.95,6,4,4,3601.3,11,4,4
r045-003,45,9.79432,17,17,17,6.27754,25,17,17
r045-004,45,245.337,8,8,8,555.725,19,8,8
r045-005,45,3771.88,6,5,5,3601.32,11,5,5
r045-006,45,15.2277,9,9,9,14.4618,13,9,9
r045-007,45,4868.52,6,5,5,3601.32,14,5,5
r045-008,45,13.353,10,10,10,11.1048,14,10,10
r045-009,45,50.0811,6,6,6,423.588,11,6,6
r045-010,45,663.555,6,6,6,609.053,14,6,6
r045-011,45,19.5711,9,9,9,18.9123,14,9,9
r045-012,45,12.8164,11,11,11,9.97777,18,11,11
r045-013,45,1629.57,6,5,5,3601.32,14,5,5
r045-014,45,3617.58,6,4,4,3601.33,11,4,4
r045-015,45,12.727,11,11,11,9.52592,21,11,11
r045-016,45,34.7947,9,9,9,41.7051,16,9,9
r045-017,45,11.0946,11,11,11,7.81987,17,11,11
r045-018,45,115.647,7,7,7,310.063,14,7,7
r045-019,45,4545.71,5,4,4,3601.33,12,4,4
r045-020,45,92.6158,7,7,7,27.6853,13,7,7
r045-021,45,13.9549,7,7,7,10.8639,12,7,7
r045-022,45,102.773,8,8,8,61.8754,14,8,8
r045-023,45,3286.24,6,5,5,3601.3,12,5,5
r045-024,45,4295.78,5,4,4,3601.31,10,4,4
r045-025,45,28.5967,6,6,6,47.878,13,6,6
r045-026,45,584.585,6,6,6,3104.79,15,6,6
r045-027,45,889.394,5,5,5,3601.13,13,5,5
r045-028,45,10.5291,10,10,10,7.47379,16,10,10
r045-029,45,23.0317,8,8,8,155.365,16,8,8
r050-000,50,15.2436,12,12,12,10.4052,17,12,12
r050-001,50,4680.85,7,7,7,973.276,18,7,7
r050-002,50,15.3241,12,12,12,10.4914,19,12,12
r050-003,50,25.4194,10,10,10,19.6134,15,10,10
r050-004,50,29.3005,10,10,10,48.2991,16,10,10
r050-005,50,20.1922,10,10,10,16.3007,18,10,10
r050-006,50,12.9068,12,12,12,8.04843,16,12,12
r050-007,50,1755.25,6,6,6,3601.66,16,6,6
r050-008,50,26.4778,8,8,8,141.2,18,8,8
r050-009,50,16.7696,10,10,10,11.5798,16,10,10
r050-010,50,28.6181,9,9,9,28.5481,19,9,9
r050-011,50,19.4457,12,12,12,14.8882,17,12,12
r050-012,50,15.3642,20,20,20,10.5282,24,20,20
r050-013,50,2279.75,7,7,7,2947.64,15,7,7
r050-014,50,16.3663,14,14,14,11.3389,22,14,14
r050-015,50,34.5538,9,9,9,34.3339,16,9,9
r050-016,50,340.029,8,8,8,396.93,16,8,8
r050-017,50,17.9512,8,8,8,13.8964,16,8,8
r050-018,50,14.7924,10,10,10,10.406,19,10,10
r050-019,50,5038.89,6,5,5,3601.84,11,5,5
r050-020,50,4132.82,6,5,5,3601.62,11,5,5
r050-021,50,558.156,6,6,6,3601.86,13,6,6
r050-022,50,531.675,8,8,8,32.3056,16,8,8
r050-023,50,46.3564,8,8,8,33.0166,13,8,8
r050-024,50,19.8782,8,8,8,14.6685,14,8,8
r050-025,50,24.4892,12,12,12,20.4754,20,12,12
r050-026,50,30.4757,8,8,8,313.778,16,8,8
r050-027,50,20.657,8,8,8,15.9974,18,8,8
r050-028,50,378.143,8,8,8,31.0968,15,8,8
r050-029,50,17.6051,8,8,8,13.3782,16,8,8
r055-000,55,7201.88,8,6,6,3602.38,15,6,6
r055-001,55,7201.91,8,6,6,3602.38,15,6,6
r055-002,55,916.995,7,7,7,3602.4,14,7,7
r055-003,55,33.3565,9,9,9,25.6855,21,9,9
r055-004,55,6383.93,7,6,6,3602.35,13,6,6
r055-005,55,33.8829,11,11,11,37.3488,18,11,11
r055-006,55,27.0929,12,12,12,19.8487,17,12,12
r055-007,55,28.9542,10,10,10,23.2619,16,10,10
r055-008,55,1886.85,9,9,9,347.228,20,9,9
r055-009,55,3763.74,8,7,7,3602.34,16,7,7
r055-010,55,2989.25,6,6,6,3602.36,12,6,6
r055-011,55,30.4186,10,10,10,22.1034,17,10,10
r055-012,55,38.1428,9,9,9,30.9652,20,9,9
r055-013,55,27.5596,9,9,9,19.0703,17,9,9
r055-014,55,4934.99,8,6,6,3602.32,15,6,6
r055-015,55,3009.4,7,7,7,3602.57,16,7,7
r055-016,55,7202,9,7,7,3602.42,16,7,7
r055-017,55,1042.1,7,7,7,2663.5,15,7,7
r055-018,55,7201.95,9,7,7,3602.39,17,7,7
r055-019,55,7201.84,8,5,5,3602.31,15,5,5
r055-020,55,32.1533,9,9,9,26.2603,18,9,9
r055-021,55,7201.86,8,6,6,3602.32,14,6,6
r055-022,55,32.6479,8,8,8,20.4586,14,8,8
r055-023,55,1329.37,8,8,8,2041.21,17,8,8
r055-024,55,31.7486,9,9,9,23.0904,16,9,9
r055-025,55,3495.8,6,6,6,3602.58,12,6,6
r055-026,55,2971.32,7,7,7,3602.58,16,7,7
r055-027,55,7201.93,9,6,6,3602.39,15,6,6
r055-028,55,7201.93,9,6,6,3602.37,15,6,6
r055-029,55,2742.76,7,7,7,3602.31,15,7,7
r060-000,60,7202.56,8,5,5,3603.45,13,5,5
r060-001,60,51.3303,8,8,8,42.4787,20,8,8
r060-002,60,7202.54,21,8,8,3603.52,21,8,8
r060-003,60,7202.52,8,5,5,3603.25,13,5,5
r060-004,60,7202.58,8,5,5,3603.39,16,5,5
r060-005,60,7202.58,9,6,6,3603.52,17,6,6
r060-006,60,106.698,9,9,9,119.901,15,9,9
r060-007,60,5601.52,9,8,8,3603.29,18,8,8
r060-008,60,49.6012,10,10,10,37.0243,17,10,10
r060-009,60,7202.58,9,8,8,3603.29,17,8,8
r060-010,60,40.4784,10,10,10,32.7155,18,10,10
r060-011,60,102.882,9,9,9,1374.17,16,9,9
r060-012,60,55.9564,10,10,10,45.6058,20,10,10
r060-013,60,7202.57,10,7,7,3603.23,15,7,7
r060-014,60,36.1487,22,22,22,26.1136,27,22,22
r060-015,60,59.7525,9,9,9,39.4019,13,9,9
r060-016,60,7202.57,10,7,7,3603.51,18,7,7
r060-017,60,33.0401,14,14,14,23.7061,18,14,14
r060-018,60,6571.9,9,8,8,3603.4,17,8,8
r060-019,60,52.2634,8,8,8,42.9071,17,8,8
r060-020,60,34.7725,14,14,14,24.5976,19,14,14
r060-021,60,56.2317,10,10,10,47.1811,19,10,10
r060-022,60,1660,8,8,8,3603.49,16,8,8
r060-023,60,2345.64,7,7,7,2572.37,14,7,7
r060-024,60,7202.54,8,6,6,3603.24,14,6,6
r060-025,60,50.1359,8,8,8,37.8947,21,8,8
r060-026,60,52.9743,8,8,8,42.9245,20,8,8
r060-027,60,7202.54,8,5,5,3603.54,16,5,5
r060-028,60,35.4518,12,12,12,27.3233,25,12,12
r060-029,60,37.3749,12,12,12,29.1391,22,12,12